BLANK,Name,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
"ALK (18,8%)",ALK,-1.802966102,-0.123266778,-0.021565731,-1.345128877,-0.594735132,0.50711681,0.394845078,0.024505373,0.249775651,-0.190401873,-0.045095657,0.15333045,-0.592127303,-0.338832212,0.001007049,0.288713911,0.199472403,0.6328125,0.59201995,0.468493742,0.432502897,0.291678186,0.331020227,0.04096171,-0.357579787,-0.542857143,0.138365385,-0.515099388,-0.661935002,-0.562259504,0.661912159,0.244837758,1.927326595,0.074489217,-0.327987169,0.401023345,0.21296191,-0.013476158,-0.189116608,0.404446105,-0.076417994,-0.047268501,-0.310738347,0.057089996,0.073661736,0.673388071,-0.246224766,-0.20644694,-0.590865477,-0.073033708,0.649925595,-0.415418553,-1.172710406,0.014874697,0.294824882,0.116733245,0.251398434,-0.361009101,-1.286998203,-1.498852334,-0.435900925,-0.074667066,-0.013656274,-0.191588785,-0.365909091,0.385115745,0.481917985,0.055773881,-0.053714859,-0.008295964,0.542596349,-0.036532508,0.142874109,-0.582074522,0.475844278,-0.44939566,-0.800813008,0.357870008,-0.196978852,0.732310469,-0.094073959,0.350841407,0.29969419,-0.14659831,-0.067642527,-0.780491575,0.124284869,0.260204082,0.500067087,-0.164082687,-0.026632302,-0.108586604,-0.099152286,0.540560804,-0.288138653,0.239905363,0.915068493,0.194484241,-0.020261845,-0.064811185,-0.276373147,0.14297507,0.042063492,-0.621952862,0.017363852,-0.10837766,-0.075008466,-0.243540743,-0.074197121,0.173998611,-0.112924113,-0.657632828,-0.291125242
"ARID1A (19, 8%)",ARID1A,-0.747531021,-0.324530924,-0.442583371,-1.695302362,-1.480682388,0.486116035,-0.721977855,0.008235412,-0.139398496,0.048086867,0.06209053,0.577422145,1.368873168,-0.885187653,-0.023024896,-0.652036378,0.117707477,-0.885874649,0.306499261,-2.283589877,-0.762870987,-0.567721699,-0.221467592,-0.404937946,-0.965032154,0.286927856,-0.061700891,-0.597337449,-0.721144794,-0.078792342,-1.092854895,-1.252725951,-0.756476684,-0.184649123,-0.178298523,-0.375752644,-0.140804265,-0.375503062,-0.254105205,-0.454030841,-0.287387516,0.107453651,-0.482677709,-0.37294581,-0.046650906,-0.732488823,0.056687605,-0.135246637,-1.531087544,-0.41285297,0.115826158,0.279280274,-0.864695946,-0.358496841,0.375788796,-0.01382694,-0.412431444,-0.432244153,-1.163446795,1.514021572,-0.299719514,-0.035103647,-0.415493884,-1.78893617,-1.215366477,-0.487666448,-0.653925977,-1.278392857,0.041208119,-0.087582895,-0.988752556,-0.72010688,-0.327041698,-0.897079557,2.364235401,-0.521529061,-0.851422764,-1.27182285,-0.669815853,-0.44727857,-0.40453595,0.320423136,-0.237793852,-0.070389358,0.478776814,-1.25440613,-1.101446193,-0.251464574,-0.70754182,-1.988188976,-0.483177297,-0.169418521,0.151475314,-0.088499619,-1.713346483,-0.932657731,-1.850675952,-0.364232029,-0.538200614,-0.477910568,-0.538651555,-0.949081365,-1.134439553,-0.770547461,-0.36795535,-0.388359046,-0.231963159,-0.856650812,-1.048518678,-0.238243017,-1.765435746,-1.323763404,-0.246430029
"ARID1B (14, 6%)",ARID1B,1.425326245,0.358423913,0.740805604,-0.186794092,0.599358974,-0.151066925,1.182971973,0.062113042,0.051749925,0.332392921,1.511006751,2.715537849,-3.330422125,-0.173931997,-0.008633094,1.029010239,0.579493088,0.515957447,1.78608127,-0.816176471,0.235294118,0.417539989,-0.31420205,0.483057325,0.082780578,0.971841332,2.165802113,-0.231734317,0.111429481,1.177591036,0.739889438,0.799275945,0.674435543,0.16517106,0.241281427,0.350255428,0.298692439,0.673620458,0.080456718,-0.445961764,0.46000546,-0.201892744,0.256389776,-0.029139073,-0.25307668,-0.144546649,0.987352941,0.79848285,-1.790274684,0.747481685,0.377327935,0.795543906,-1.098377282,0.1752082,-0.682703322,0.727299528,0.548938866,1.500759186,1.792315175,1.160012674,-0.679640719,-0.02025393,-0.149559357,-0.473273942,1.66493699,0.868915293,-0.284696301,-0.061073411,-0.132223063,0.077196096,0.481088083,1.426466165,0.806535638,0.974918212,-1.189728097,-0.593776283,1.114028507,2.448241704,0.829353524,0.349608647,-0.099748269,0.004781421,0.775322741,0.267968538,-0.415064608,-0.551919957,0.337539432,0.15281394,-0.425630618,3.869618197,0.028628686,0.955591225,1.31596545,0.436107855,-0.783744557,0.688676334,1.236589698,1.465578424,1.083712466,1.280620155,0.035344828,1.233410943,0.796389464,1.705230611,1.120698644,1.941402252,-0.060738255,1.034671035,1.30752394,0.317655236,0.895049505,0.927062229,-0.350299401
"ARID2 (18, 8%)",ARID2,-0.384173056,-0.352606767,0.020489387,0.196581197,-0.98679276,-0.189425176,-0.645836516,-0.092849196,-0.417779126,-0.236311614,-0.57906182,-1.505538325,0.572921615,-0.479013991,0.000575457,3.185102212,-0.042933443,0.391943386,-0.866230366,-1.51627907,-0.574621154,-0.214565826,3.458057727,-0.443886982,-0.999196141,-0.43320735,-0.178439024,-0.860544218,-1.759059572,-0.969597755,-0.724525437,-0.450932881,-0.926819996,-0.040581379,-0.099370686,-0.06653778,-0.473881471,-0.445974207,-0.308934038,0.123668971,-0.12992456,-0.071315372,-0.189421894,-0.374032324,-0.250748621,0.157199641,0.238518519,0.441057269,-0.039799211,-0.080875468,-1.239121339,-0.655079272,-0.164813278,0.325272261,-0.693127791,0.484243231,0.020836834,-0.852546028,-0.750668092,0.258590095,0.481519116,0.500862069,0.122422845,-2.666390041,0.229996536,0.27618674,0.250245339,-0.473315278,-0.110567269,-0.039503386,-1.549376798,-0.993681883,-0.120096852,-0.124712203,2.16109975,0.571018455,-0.422878668,0.289655172,-0.381517656,-0.447440406,-0.481927711,0.065879535,0.141666667,-0.161978661,0.175566712,-1.343601533,-1.156910569,0.437653061,0.588431591,-1.091575092,-0.570806732,-0.135585719,-0.27271325,0.020715918,0.265438596,-0.957695473,0.595616757,1.681411175,0.816609536,-0.826775883,0.447063866,-1.425863236,-0.683891076,0.183505424,0.350434096,0.084514235,0.138466623,0.268879548,-0.016196013,-0.06287703,-0.862910798,-0.402082376,0.135423616
"ATM (27, 12%)",ATM,-1.566049383,-0.416573971,0.814273179,-0.201998262,-0.872988702,-0.297428433,-0.429137458,0.040048058,-0.216438356,-0.247360084,0.10556391,-0.392439244,12.07506702,-1.05522861,-0.038227628,-13.57363014,0.481598734,-0.849602011,-0.331491713,-1.770623742,-0.424048609,-0.534071054,1.851912929,-0.374903176,-0.655276107,0.013917526,-0.176493557,-0.670518077,-0.659574468,-0.752279635,-0.608880183,-0.702189781,-0.027310138,0.253478854,-0.255158325,0.045338442,-0.064343786,-0.155087719,-0.205327414,0.638513514,0.012121212,0.159789947,-0.418181818,-0.037984914,0.869332494,-0.686705202,-0.000629525,0.006080114,-3.025054466,-0.123671498,-2.815120712,-0.829507351,-0.551316678,-0.650074294,-0.180922006,-0.967350746,-0.766112687,-0.464938518,-1.80893592,-1.049926579,-0.318998367,0.876037631,0.719380226,0,-1.78812825,-0.071514665,0.089822294,-0.528307888,0.072378139,0.192459448,-0.735558408,-0.299352751,-0.361309377,-1.780356403,1.827696527,-1.729482323,-0.821742606,-1.223551637,-0.542418773,0.006336191,-0.318124607,0.020491803,0.564309445,0.168074094,-0.4227976,-1.516996292,-0.874266555,-0.986148347,-0.60338291,-1.856419696,-0.044113435,-0.246485193,-0.587549831,-0.445414847,-1.15021645,-1.089102352,-0.765561843,-0.492028179,-1.085121351,-1.190212884,-0.020591647,-1.433406917,-0.856661046,-0.774011299,-0.521881838,-0.801348693,-0.258407687,-0.856617647,-0.697308133,-0.275967175,-1.770503597,-1.265030675,-0.204263357
"ATR (13, 6%)",ATR,-1.695235487,-0.210898502,-0.416327147,-0.866754041,-0.914202145,-0.37101834,-0.267020971,0.226677332,-0.704455294,-0.35495684,-0.849032667,2.192192833,4.801920162,-0.44106794,-0.002734206,-1.976080247,0.211380444,0.266557794,0.113216958,1.172975259,-0.697827038,-0.222160356,-2.361450925,-0.198230542,-1.115452449,-0.627134107,-0.135548881,-1.47134864,-1.910751271,-0.775896568,-0.843887623,-0.696906741,-0.429956282,-0.841374269,-0.892757336,-0.382940406,0.03181923,0.199205252,-0.114234778,0.093189964,-0.004711752,0.100643208,-0.091143711,-0.58014746,-0.542112083,-0.918176749,0.359502832,-1.068634553,-0.668585684,-0.180082988,-1.774079127,0.300364279,0.284481328,-0.105254406,-0.693127791,-0.346608774,-0.515543606,0.043531954,0.397332662,-1.652084885,-1.14,-0.192464821,-0.388940214,-2.920567376,-0.655113636,-0.138588047,0.190184049,0.201330109,0.247391037,-0.208880834,-0.35238829,-0.147637795,-0.598241544,-1.638894334,-1.857230205,-0.167222222,-0.378456221,-3.560352423,-0.941087613,-0.271199687,0.422696116,-0.25,-0.887061261,0.060342484,-1.143436866,-1.051830581,0.224084778,-0.560421053,-2.160430922,-1.829888028,-0.743124634,0.165111271,-0.343833185,0.591692907,-0.837416077,-0.483834281,-0.373739333,-1.891693968,-0.738329834,-1.076427887,-0.792922477,-2.047944007,-2.023495112,-0.541414141,-0.902925896,-0.847675569,-0.246268657,-0.909799725,-1.161585802,-0.353600187,-0.245014245,-0.9910175,-0.128455285
"BCL11A (9, 4%)",BCL11A,-2.146495071,0.048010974,0.13648449,-0.677370031,-0.421129503,0.328438395,0.534411845,-0.032669162,0.421052632,-0.03516029,-0.363466915,0.232482699,-3.31477591,0.520025429,-0.004604979,1.071975498,-0.429130435,0.264083244,-0.439817166,0.678790442,-0.583585706,-0.012249443,2.333780161,-0.290564089,-0.442658092,0.055649023,1.30806096,-0.530050552,-0.891185077,-0.672009678,-0.361267397,0.451656656,0.401824034,0.137060159,-0.268360974,-0.361001965,0.101393012,0.425097772,-0.488339223,0.487763871,0.483751543,-0.012158055,-0.013583265,0.020747985,0.171473601,-0.092443521,0.907642824,-0.106664252,0.419253025,0.099421965,2.3379874,-0.420692018,0.275510204,0.274183216,-0.651953894,0.795088031,1.087422087,-0.273381295,-2.060294118,-0.836071304,-0.336049152,-0.280321407,-0.479741322,-1.704840941,-1.452660407,0.699636503,-0.09241086,0.242140266,1.171025169,-0.115575621,-0.379969183,0.00090854,-0.410672854,-0.431120491,2.423076923,0.688949153,0.16359447,-1.277599487,-0.076761933,-0.059519267,1.686689522,0.407097765,0.001521491,-0.532744875,0.299558801,-0.708255564,0.018290258,0.737040816,0.696276183,0.497917534,-0.238088363,1.121634682,0.003651767,0.329584645,-0.714389403,0.333123028,-1.367002012,-1.056457704,-0.103860443,-1.180934119,0.268609801,-1.208700068,-0.792814961,-0.663030303,0.176787087,0.109840426,-0.080357143,-0.0483919,-1.00240725,-0.458791881,-1.238336144,0.137752161,-0.020072747
"BRAF (26, 11%)",BRAF,0.458567587,0.063722826,-0.074364281,-1.04696374,0.579719491,-0.147442085,-0.028492913,-0.080105189,-0.180825243,-0.126398947,0.191622103,0.601669521,2.620737648,-0.690789474,-0.00129515,-0.687819857,-0.315193247,-0.542937325,-0.539867953,-0.114604236,0.192486937,-0.118040089,1.589435774,-0.224861237,-0.167470525,0.501421332,0.088936047,-0.416400226,-0.40215662,-0.165537555,0.424283765,0.553535354,-0.163867872,0.051220204,-0.085714286,-0.251347123,0.143600181,-0.139777469,-0.31909268,-0.163183891,-0.180401516,0.145331325,-0.306136395,-0.055004753,0.383559555,0.16756135,-0.270779639,1.078034682,0.942852517,-0.010523854,1.653871072,0.283755848,-0.010622407,0.171482412,0.348373984,-0.103009433,0.486740672,-0.100185242,-0.347140567,-0.718726731,0.251492443,-0.267187261,0.412369841,1.355392157,-0.100798783,-0.052547132,0.007687275,0.144347037,-0.127018163,0.014241211,-0.278582435,-0.364921547,-0.635706914,-0.037221796,-0.748427673,0.055180025,-0.395519429,1.839920457,-0.191849817,0.018134231,0.081850534,0.112453215,-0.149001332,-0.238208537,-0.685488959,0.215417674,0.029394358,0.135451837,0.610678532,-0.42377261,-0.142073347,0.219970474,0.028629857,-0.256963452,-0.311789132,-0.922014622,-1.157033574,0.791513882,-0.104183492,0.283388783,0.509349593,0.419648562,0.293165468,0.223630898,0.130372864,1.171755246,0.322022731,0.410191083,0.198366556,0.222744046,-1.520517144,-0.217423678,0.03042028
"CCNA1 (9, 4%)",CCNA1,4.670855486,2.079891304,2.317279626,0.741922617,1.153525641,-0.151066925,2.205408358,0.147977573,1.250673048,0.89629439,6.676090226,7.344017094,11.4611399,2.249786507,-0.008633094,1.23651192,3.830305373,3.415007112,3.039647577,4.184946237,1.942641947,3.452840596,-1.605270864,1.326727642,0.629875298,3.058647367,2.774674828,0.963098283,2.040432983,4.407563025,1.182717486,3.319790829,11.64230499,1.434560907,1.52351987,1.786034593,0.656551724,1.949528937,0.721156444,-0.198331437,0.611294766,-0.201892744,2.286474973,1.496308017,4.024874055,0.434180139,4.64391318,1.092393192,-1.175784099,3.852171882,2.368825911,0.499559859,-0.696663296,1.220371557,0.522614451,0.577962578,2.143807412,2.966389146,2.580160321,-1.137091394,-1.08056614,-0.142684401,0.765941101,1.543543544,1.087657784,2.134917593,1.309777348,2.59505814,-0.022982763,0.127329193,2.850518135,3.776541353,2.552299261,1.530203785,-1.20979021,0.516377649,-0.284815106,3.861812779,2.579790332,1.200149087,0.949402024,0.071258098,-0.595612903,-0.528280858,0.57985258,2.452714759,0.337539432,0.016850426,1.020114161,6.153533712,2.411394217,1.713439267,5.125035684,3.753810082,2.799568966,3.454489355,-0.430689103,2.35166785,3.052336449,3.633427326,1.754597701,1.991917936,2.661594644,2.540324659,1.263295099,1.510828025,0.25564409,2.3049117,1.331600547,0.318602499,5.653597786,1.946743849,1.816386442
"CCNB3 (14, 6%)",CCNB3,-0.802026287,-0.132002219,-0.062186115,-1.241264189,-1.472863178,-0.281129344,0.298464491,-0.051279458,-0.022754854,-0.283923208,-0.19430208,2.499382462,-3.255602241,1.357569516,0.046565105,0.329239168,-0.038863351,0.119760479,-0.334912718,-0.391024217,-0.973955179,-0.564705882,-3.482510715,-0.174916645,-1.22307074,-0.334411803,0.173653846,-0.509637188,-1.644659839,-0.779436663,-0.696031981,-1.30142961,-0.660984115,-0.258166643,-0.540834846,0.025455131,-0.038275306,-0.107809261,-0.418267852,0.307491126,0.248365123,0.145289444,-0.362170288,-0.249899826,0.167691095,-0.055180473,0.156532394,-0.132017385,0.166726425,-0.17286985,-0.507112971,0.252014571,0.233418367,-0.198370469,-0.506482027,-0.583078335,-0.796137339,0.560128519,0.616004026,1.190468651,-1.056389334,-0.211036992,-0.124452461,-0.133864761,-1.051780558,-0.24314999,-0.191250419,-0.313498277,-0.169346605,-0.109467456,0.324521176,-0.431578947,0.288836105,-0.49833366,0.464821764,0.686111111,-0.171466974,-4.718249316,-0.479489106,0.607268032,-0.095794393,0.023100616,0.031190567,-0.4,-0.831068915,-0.560092007,0.080094693,-0.400631579,-0.95151687,-0.86089578,-0.589084609,0.310839914,0.233420976,0.212625581,-0.719622569,-0.99057715,0.051978278,-2.214761159,-1.471244028,-0.815259382,-0.411037528,-1.932209668,-1.813598032,-0.831882022,0.038839979,-0.74070934,-0.187668464,-1.527138296,-1.271983933,-0.481902666,-2.189045383,-0.843362425,-0.265741874
